asset_id,kind,file,origin,tool,licence,notes
boss/king_goldenfang/windup/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/windup/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/windup/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/windup/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/barrage/0,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/barrage/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/barrage/1,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/barrage/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/barrage/2,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/barrage/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/barrage/3,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/barrage/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/defeat/0,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/defeat/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/defeat/1,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/defeat/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/defeat/2,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/defeat/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/defeat/3,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/defeat/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/defeat/4,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/defeat/4,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/defeat/5,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/defeat/5,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/fly/0,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/fly/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/fly/1,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/fly/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/fly/2,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/fly/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/fly/3,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/fly/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/hit/0,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/hit/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/hit/1,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/hit/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/mark/0,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/mark/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
